,closeINTC,closeGE
2014-10-01,31.73524,23.361981
2014-10-02,31.296417,23.32484
2014-10-03,31.772584,23.584829
2014-10-06,31.847278,23.417692
2014-10-07,31.249734,23.036992
2014-10-08,31.996664,23.445549
2014-10-09,31.389781,23.009137
2014-10-10,29.793217,22.535584
2014-10-13,29.382404,22.238452
2014-10-14,30.007959,22.377732
2014-10-15,29.205009,22.544869
2014-10-16,28.803534,22.517012
2014-10-17,29.298374,23.046278
2014-10-20,29.485108,23.241272
2014-10-21,30.446782,23.631257
2014-10-22,30.129337,23.389837
2014-10-23,30.521474,23.621971
2014-10-24,30.978971,23.807678
2014-10-27,30.997644,23.696254
2014-10-28,31.501824,24.030526
2014-10-29,31.66988,23.826249
2014-10-30,30.418774,23.835534
2014-10-31,31.75391,23.965529
